trial_index,trial_name,status,error,feature_set,model_type,sample_weighting_enabled,trial_output_dir,trial_model_dir,n_rows,n_unique_compounds,n_features,cv_type,n_splits,mae_oof,rmse_oof,r2_oof,split_train_rows,split_val_rows,split_test_rows,split_train_unique_compounds,split_val_unique_compounds,split_test_unique_compounds,split_train_size_requested,split_val_size_requested,split_test_size_requested,train_n,train_mae,train_rmse,train_r2,validation_n,validation_mae,validation_rmse,validation_r2,test_n,test_mae,test_rmse,test_r2,refit_final_on,n_final_fit_rows,n_final_fit_unique_compounds,model_path,regressor__model_type,regressor__n_estimators,regressor__min_samples_leaf,regressor__min_samples_split,regressor__max_depth,regressor__max_features,regressor__bootstrap,regressor__learning_rate,regressor__subsample
4,rf_small_leaf1,success,,rdkit_small,random_forest,False,output/final_model_sweep_compact/trial_004_rf_small_leaf1/output,output/final_model_sweep_compact/trial_004_rf_small_leaf1/models,2047,1830,33,GroupKFold,5,33.71635685618984,64.14587147703699,0.9310584182710115,1234,400,413,1098,366,366,0.6,0.2,0.2,1234,17.26536415288985,29.23689346350639,0.9857588558728025,400,37.498325743278436,65.95259669596196,0.9123514866216743,413,36.919751538826816,76.69123299990808,0.9140137381236892,full,2047,1830,output/final_model_sweep_compact/trial_004_rf_small_leaf1/models/cp_regressor.joblib,random_forest,800,1,2,,sqrt,True,,
8,rf_chem_compact_leaf1,success,,chem_compact_v1,random_forest,False,output/final_model_sweep_compact/trial_008_rf_chem_compact_leaf1/output,output/final_model_sweep_compact/trial_008_rf_chem_compact_leaf1/models,2047,1830,10,GroupKFold,5,34.92976871572367,65.80992794238173,0.9274350911259459,1234,400,413,1098,366,366,0.6,0.2,0.2,1234,17.728872098112614,29.685517393510104,0.985318457835454,400,37.26979356171551,66.99169045643619,0.9095678972323279,413,37.22989758481652,75.87319256174843,0.9158383297589248,full,2047,1830,output/final_model_sweep_compact/trial_008_rf_chem_compact_leaf1/models/cp_regressor.joblib,random_forest,800,1,2,,sqrt,True,,
1,rf_selected_leaf1,success,,selected_rdkit_v1,random_forest,False,output/final_model_sweep_compact/trial_001_rf_selected_leaf1/output,output/final_model_sweep_compact/trial_001_rf_selected_leaf1/models,2047,1830,25,GroupKFold,5,34.38803253546048,65.351502209128,0.9284425305810222,1234,400,413,1098,366,366,0.6,0.2,0.2,1234,17.37805871927485,29.466127683034806,0.9855346627261125,400,37.549964630217666,66.02891981470617,0.9121485081499399,413,37.255714466750376,78.52741384093521,0.9098469926402506,full,2047,1830,output/final_model_sweep_compact/trial_001_rf_selected_leaf1/models/cp_regressor.joblib,random_forest,800,1,2,,sqrt,True,,
3,rf_selected_depth20_leaf1,success,,selected_rdkit_v1,random_forest,False,output/final_model_sweep_compact/trial_003_rf_selected_depth20_leaf1/output,output/final_model_sweep_compact/trial_003_rf_selected_depth20_leaf1/models,2047,1830,25,GroupKFold,5,34.35400538291022,65.36410983581084,0.9284149181512017,1234,400,413,1098,366,366,0.6,0.2,0.2,1234,17.43113961366771,29.558539411775882,0.9854437880089387,400,37.4722984706244,65.73971214569796,0.9129164044903136,413,37.28690020614166,78.33426333852087,0.9102899381720109,full,2047,1830,output/final_model_sweep_compact/trial_003_rf_selected_depth20_leaf1/models/cp_regressor.joblib,random_forest,800,1,2,20.0,sqrt,True,,
9,gb_selected_lr003,success,,selected_rdkit_v1,gradient_boosting,False,output/final_model_sweep_compact/trial_009_gb_selected_lr003/output,output/final_model_sweep_compact/trial_009_gb_selected_lr003/models,2047,1830,25,GroupKFold,5,35.563036002386795,65.38614979989819,0.9283666348154994,1234,400,413,1098,366,366,0.6,0.2,0.2,1234,21.120960278167974,27.73403685743504,0.9871852951458053,400,38.259918504011296,69.38141044576308,0.9030010564326014,413,37.38170093918168,69.82827714887203,0.9287146505962568,full,2047,1830,output/final_model_sweep_compact/trial_009_gb_selected_lr003/models/cp_regressor.joblib,gradient_boosting,800,2,2,3.0,,,0.03,0.9
10,gb_small_lr003,success,,rdkit_small,gradient_boosting,False,output/final_model_sweep_compact/trial_010_gb_small_lr003/output,output/final_model_sweep_compact/trial_010_gb_small_lr003/models,2047,1830,33,GroupKFold,5,34.68090547578466,63.9882960488221,0.931396714589301,1234,400,413,1098,366,366,0.6,0.2,0.2,1234,20.53296169843985,27.03570585583713,0.987822507892185,400,39.03876637460997,72.2929681839693,0.8946892106046787,413,37.70893961129918,69.42239912219348,0.9295409367627245,full,2047,1830,output/final_model_sweep_compact/trial_010_gb_small_lr003/models/cp_regressor.joblib,gradient_boosting,800,2,2,3.0,,,0.03,0.9
7,rf_shap_top15_leaf1,success,,shap_top15_v1,random_forest,False,output/final_model_sweep_compact/trial_007_rf_shap_top15_leaf1/output,output/final_model_sweep_compact/trial_007_rf_shap_top15_leaf1/models,2047,1830,15,GroupKFold,5,35.111528656028916,66.68734580377414,0.9254872333787294,1234,400,413,1098,366,366,0.6,0.2,0.2,1234,17.640615578344388,29.48184561366675,0.9855192263028899,400,38.116768953160594,67.38333828058187,0.9085074353957805,413,37.84876849740252,79.53976443439026,0.9075075614754388,full,2047,1830,output/final_model_sweep_compact/trial_007_rf_shap_top15_leaf1/models/cp_regressor.joblib,random_forest,800,1,2,,sqrt,True,,
12,rf_small_leaf2_weighted,success,,rdkit_small,random_forest,True,output/final_model_sweep_compact/trial_012_rf_small_leaf2_weighted/output,output/final_model_sweep_compact/trial_012_rf_small_leaf2_weighted/models,2047,1830,33,GroupKFold,5,34.30969370559146,64.4782449166225,0.9303421222487853,1234,400,413,1098,366,366,0.6,0.2,0.2,1234,22.255275137177588,40.7350564444217,0.972354842016097,400,37.2070038613911,61.16328736629088,0.9246189131577663,413,38.16842020361188,80.32933322680057,0.9056621546311951,full,2047,1830,output/final_model_sweep_compact/trial_012_rf_small_leaf2_weighted/models/cp_regressor.joblib,random_forest,800,2,2,,sqrt,True,,
2,rf_selected_leaf2,success,,selected_rdkit_v1,random_forest,False,output/final_model_sweep_compact/trial_002_rf_selected_leaf2/output,output/final_model_sweep_compact/trial_002_rf_selected_leaf2/models,2047,1830,25,GroupKFold,5,34.803190778433745,65.20661749265966,0.9287594656419405,1234,400,413,1098,366,366,0.6,0.2,0.2,1234,22.06706204921537,40.545308943524894,0.9726117893662309,400,36.663127563746315,61.06238500744423,0.9248674235242408,413,38.23021959827026,80.38736919347309,0.9055257918456012,full,2047,1830,output/final_model_sweep_compact/trial_002_rf_selected_leaf2/models/cp_regressor.joblib,random_forest,800,2,2,,sqrt,True,,
6,rf_shap_top10_leaf1,success,,shap_top10_v1,random_forest,False,output/final_model_sweep_compact/trial_006_rf_shap_top10_leaf1/output,output/final_model_sweep_compact/trial_006_rf_shap_top10_leaf1/models,2047,1830,10,GroupKFold,5,35.805280998879994,65.78482605500281,0.9274904374494145,1234,400,413,1098,366,366,0.6,0.2,0.2,1234,18.207206093978478,29.704879362124842,0.9852992999236463,400,39.95985949191997,70.64072215691037,0.8994479298015807,413,38.232781062785065,74.8072078180615,0.9181865854490433,full,2047,1830,output/final_model_sweep_compact/trial_006_rf_shap_top10_leaf1/models/cp_regressor.joblib,random_forest,800,1,2,,sqrt,True,,
5,rf_small_leaf2,success,,rdkit_small,random_forest,False,output/final_model_sweep_compact/trial_005_rf_small_leaf2/output,output/final_model_sweep_compact/trial_005_rf_small_leaf2/models,2047,1830,33,GroupKFold,5,34.30969370559146,64.4782449166225,0.9303421222487853,1234,400,413,1098,366,366,0.6,0.2,0.2,1234,22.158466540061596,40.67346760641437,0.9724383742936117,400,37.13420229359166,61.234955640690806,0.9244421536077901,413,38.29995219385335,80.86357137099428,0.9044031757563838,full,2047,1830,output/final_model_sweep_compact/trial_005_rf_small_leaf2/models/cp_regressor.joblib,random_forest,800,2,2,,sqrt,True,,
11,rf_selected_leaf2_weighted,success,,selected_rdkit_v1,random_forest,True,output/final_model_sweep_compact/trial_011_rf_selected_leaf2_weighted/output,output/final_model_sweep_compact/trial_011_rf_selected_leaf2_weighted/models,2047,1830,25,GroupKFold,5,34.803190778433745,65.20661749265966,0.9287594656419405,1234,400,413,1098,366,366,0.6,0.2,0.2,1234,22.093226039153205,40.614397151315956,0.9725183721710107,400,36.97479421595828,61.177471505360884,0.9245839464369148,413,38.46238614668761,80.21473931449331,0.9059311181952816,full,2047,1830,output/final_model_sweep_compact/trial_011_rf_selected_leaf2_weighted/models/cp_regressor.joblib,random_forest,800,2,2,,sqrt,True,,
